ID	adj.P.Val	P.Value	t	B	logFC
JAK2	7.72095392703835e-34	4.89623458883159e-37	16.9866847610092	73.5848674611819	1.20206081002304
C1R	4.50835393434906e-33	2.97809143261445e-36	-16.681819063879	71.8394324577637	-1.19468569051974
FCER1G	5.60772741282306e-33	4.00065106342077e-36	-16.6321338598443	71.4925345612058	-1.47795567812807
PROS1	5.38497362329648e-33	3.69944813733838e-36	16.645304954936	71.4591026425157	1.53107207686728
FKBP5	1.0951592051452e-32	8.3572410816611e-36	-16.5083237390166	70.7004473032491	-1.91016003161994
C7ORF41	1.0951592051452e-32	8.39180281911188e-36	16.5076308807522	70.6808653474452	1.3472528962354
MYC	1.39732417782445e-32	1.10763952160687e-35	-16.4610521351372	70.5035422921234	-1.48465928993832
SLCO4A1	4.10108476223395e-32	3.46759795992936e-35	-16.2699288970817	69.4280573320031	-1.00147640067485
CTSC	5.437057462804e-32	4.7408681570716e-35	-16.2176591751956	69.1147651636998	-1.24663347003963
ZDHHC9	7.23005381193454e-32	6.49531864941538e-35	-16.1650841660125	68.7579319773622	-1.0004834755733
MT1X	1.27670034307752e-31	1.21442721425753e-34	-16.0607291578412	68.0328984106913	-2.30830159588302
MAFB	1.38126957371479e-31	1.35039301980255e-34	-16.0430497065442	68.001249459752	-1.31761850664386
SCN2B	1.43811615915768e-31	1.4439680295934e-34	16.0318906831337	67.9877657056507	1.28343233734334
S100A8	8.53451256366878e-31	8.7947468684427e-34	-15.7317177432249	66.1493806771799	-2.61131518780842
HS.177532	4.76577238500545e-30	5.28886646330468e-33	15.4350341735897	64.4186221561959	1.05693876340933
SMOC2	5.25258597400277e-30	5.96790141315117e-33	15.415105720435	64.2648281649599	1.50314910042037
TIPARP	1.10064741912483e-29	1.30870194632504e-32	-15.2856973158032	63.4659946109568	-1.26995210015981
C14ORF132	1.83608712527248e-29	2.28019063805439e-32	15.1943378440063	63.0070297212879	1.29157949346964
LOC653888	1.9037542211723e-29	2.41452736395578e-32	-15.1849251580111	62.9216839537448	-1.19609707695171
IRX6	1.62118300372313e-28	2.35599707247191e-31	14.8113135276886	60.6666047987443	1.39442220411146
STAT3	2.18960891002196e-28	3.29777804447634e-31	-14.7563143344309	60.2852302438523	-1.07869565504098
CHRDL2	3.56523868861948e-28	5.81901375648865e-31	-14.6635226361873	59.7926420728793	-1.16348367306804
MT1A	9.55850100657206e-28	1.64165979344497e-30	-14.4943172857825	58.6809010139034	-1.47836583925961
IFITM2	9.85513707353944e-28	1.71864674431539e-30	-14.4868482696814	58.6260162822212	-1.15357928255681
LCP1	1.65232255117904e-27	2.96881925382272e-30	-14.3978108889637	58.1407370797561	-1.38274607118428
PIM1	1.77187131068477e-27	3.277254974051e-30	-14.3817205131246	58.0707078808628	-1.37327071346384
ACE2	1.77187131068477e-27	3.26787106723865e-30	14.3821872624227	58.0685040512707	1.83692710486673
ITGB2	2.33663409477743e-27	4.50706254079036e-30	-14.329868885838	57.7180580621544	-1.38245964713012
LMOD2	2.51803657455313e-27	4.92349803194344e-30	14.3154931923285	57.6443151361702	1.30347651120688
XLKD1	2.68499292659824e-27	5.32089175857073e-30	-14.302868359732	57.6049314262339	-1.14241976969794
FRZB	3.02231346795803e-27	6.06922326176637e-30	14.2814697586783	57.4526715717583	1.40716621418046
