ID	adj.P.Val	P.Value	t	B	logFC	AveExpr
ILMN_1697418	0.959158616256305	0.817409542066652	-0.234655949970972	-5.91314698923464	-0.0710570428975856	7.4095448589439
ILMN_1719864	0.988788611337408	0.941135439082303	0.074994419664213	-5.91323057392064	0.0167711328249247	7.20220507176023
ILMN_1793033	0.95893624268706	0.815523317440834	-0.237128483029304	-5.91344700741009	-0.0666053984863142	7.40804525966614
ILMN_1681628	0.892768806118679	0.585412188226522	-0.55656952533794	-5.91363376848118	-0.150128663720725	8.63549770594225
ILMN_1753413	0.996151167413363	0.982116595334201	-0.0227631893160626	-5.91369858198474	-0.00696538424810544	7.16122358272677
ILMN_1791217	0.913607748237958	0.655313357305651	0.454746048041396	-5.91375937548006	0.0833954754436963	8.11231473336524
ILMN_1668834	0.995923909994879	0.978635546980841	0.0271951648962303	-5.91399143423265	0.00805833359298624	7.18960267316334
ILMN_1661574	0.80253758598951	0.352388620604371	-0.957435352561932	-5.91427626669054	-0.289460011401372	12.8887099934259
ILMN_1654028	0.976779723930596	0.889002702055788	0.141774206063713	-5.9148066968831	0.039943461845775	7.26017419065764
ILMN_1662065	0.951016415614946	0.784510685701096	-0.278014382735681	-5.91487312100516	-0.0504222208028198	7.5131639257959
ILMN_1727134	0.895789287079642	0.601968217895877	0.531944562873688	-5.91501424608578	0.121540148074875	8.50572279806531
ILMN_1725043	0.976495242311758	0.886282176704504	-0.145274799517213	-5.91517429728795	-0.0440283016866987	7.25171295583275
ILMN_1678536	0.995923909994879	0.978383405832244	-0.0275162050276543	-5.91523320319756	-0.0106982831587992	7.17836645287779
ILMN_1805992	0.973410577193761	0.869363228731899	0.167089244781553	-5.91523679171248	0.0612261100603115	7.33258775246917
ILMN_1662800	0.978816935040061	0.900398275710068	0.127130593090766	-5.91529133192843	0.0299169885455726	7.24276072330458
ILMN_1686748	0.937413953740603	0.732852630207192	0.347265485891027	-5.91560982222781	0.081417857430079	7.74001105762423
ILMN_1671486	0.879133706736716	0.528727295639455	0.643749764765008	-5.91573892061597	0.132320758661326	9.35009321536892
ILMN_1685078	0.872161790346002	0.504547402420357	-0.682496110663055	-5.91581966859603	-0.246858100818752	9.66738968529178
ILMN_1801226	0.916323025332504	0.665560537082754	0.440250613260697	-5.91582091914971	0.102166441926483	8.07398242427777
ILMN_1722855	0.876424786037462	0.521046889851783	0.655946234114904	-5.91587451093137	0.148789044669268	9.47993097680729
ILMN_1695000	0.916323025332504	0.666218464902207	-0.439323263177107	-5.91591864832119	-0.211039860046605	8.03812125012226
ILMN_1726181	0.931575911126442	0.713278821907337	0.373951717715206	-5.91594684199968	0.0930398487048922	7.82932639231617
ILMN_1800463	0.89127092987425	0.578189292582754	-0.567422897718629	-5.91601875412952	-0.14144402147798	8.71908839645246
ILMN_1712530	0.925757294365911	0.69264688860227	-0.402387787560885	-5.91611520826096	-0.159268112784158	7.8769885954878
ILMN_1694980	0.979445555393527	0.903220597455322	0.123508426218848	-5.91630754619901	0.0316249820094656	7.26173846256484
ILMN_1746257	0.915885147321936	0.663153299265368	-0.443647013338831	-5.91658221663515	-0.101554865178723	8.04423531034998
ILMN_1743396	0.962849398750098	0.827981326298837	0.220825637679256	-5.91661851503525	0.0467031734508456	7.42544375959345
ILMN_1743281	0.923250151787766	0.683286423406835	-0.415401105983082	-5.91665092899287	-0.102175699694846	7.9304584264113
ILMN_1705953	0.997852789607153	0.991469449851841	0.0108574838231641	-5.91666703325671	0.00336848505594212	7.19919125427989
ILMN_1730879	0.875836521498279	0.518391702466272	0.660186158346479	-5.91668459103765	0.146079696575082	9.51677504333092
ILMN_1764549	0.848031217047743	0.450010016022289	-0.774078760008696	-5.91668701925666	-0.128217197230777	10.7845559168074
ILMN_1811327	0.865779643433884	0.48962969186812	-0.706935222814945	-5.91690446484927	-0.154250773930592	9.9653556286374
ILMN_1799104	0.925757294365911	0.694867484727971	-0.399311187329758	-5.91694310040969	-0.128985995502772	7.86018506598677
ILMN_1757856	0.887915384610671	0.567803326827797	-0.583152519362914	-5.91750404244967	-0.117368130425673	8.85828490932097
ILMN_1727023	0.962849398750098	0.827265543296245	-0.22176060473412	-5.91796801895894	-0.0663161755237605	7.42798786728493
ILMN_1735735	0.976495242311758	0.887570760275812	-0.143616502261027	-5.91808937077685	-0.0439354738722599	7.27436157248394
ILMN_1652686	0.867855295309967	0.4930470263508	0.701298730427607	-5.91817130909248	0.114007471879255	9.98352755550623
ILMN_1805344	0.831724306127206	0.412322144587867	0.841443560223286	-5.91844075124093	0.166759907888821	11.8719573755435
ILMN_1720501	0.981739499565457	0.911245875037606	0.113218000557375	-5.91862973975449	0.0406318598155719	7.2729862146976
ILMN_1680091	0.985987274084659	0.928598542695983	-0.0910093780768284	-5.91890145525913	-0.0231415540478341	7.23982060603477
ILMN_1688638	0.885030215968096	0.557485309583193	0.598929217121892	-5.9191738476658	0.112994975084792	9.01937902306519
ILMN_1672536	0.838600988792658	0.431981787171053	-0.805837207656209	-5.91926403963289	-0.30862345647361	11.3053561946733
ILMN_1741755	0.905212093425136	0.629146773969536	-0.492229280970804	-5.91931276297563	-0.200329910161857	8.2894530858084
ILMN_1722774	0.938805451595652	0.743790702361238	0.332466887656798	-5.91932213958422	0.06065894041864	7.72503823619666
ILMN_1803005	0.974106338847182	0.877890062745987	-0.156085326674726	-5.9196163456905	-0.0566449198933547	7.30756484104874
ILMN_1756525	0.934804911024056	0.72578321989735	-0.356872602487839	-5.91968962548503	-0.183874354043182	7.72823820584077
ILMN_1797154	0.946482042984633	0.771623343761307	0.295145912161221	-5.9197087299401	0.157816944845538	7.6543760840106
ILMN_1710873	0.843453144987519	0.441810232973172	0.788422621375417	-5.91979519814489	0.256469922737885	11.0957108528637
ILMN_1683231	0.982822400114661	0.917571369953459	0.105116134267117	-5.9198577628171	0.0201772739113251	7.27861518024784
ILMN_1763910	0.894703872339804	0.592252999328449	-0.546352901500013	-5.91990745066858	-0.108101416472422	8.63323541970696
ILMN_1652309	0.983182550026976	0.918191121086042	-0.104322742808004	-5.92008967540234	-0.0603372596002005	7.25825934898506
ILMN_1661484	0.982278278915745	0.913733615028333	-0.110030726016218	-5.92010131166565	-0.0454074965022873	7.27448701494864
ILMN_1682054	0.953929523164019	0.800169690463762	0.257313259205917	-5.92014007326873	0.0926120454183703	7.53310486499491
ILMN_1652024	0.978816935040061	0.9000123361868	-0.127626044147028	-5.92019190426337	-0.0294641063646948	7.30575924441104
ILMN_1714401	0.86884220407325	0.496783738343002	0.695161618938211	-5.92047761072955	0.127875335121798	9.95651469183016
ILMN_1689001	0.868750077694737	0.495816804076244	0.696747099352709	-5.92056118462203	0.106688955345808	9.96877747990598
ILMN_1769299	0.986828753588573	0.93367992072053	-0.0845155540366044	-5.92084392634492	-0.0266965597214259	7.25433853883922
ILMN_1810229	0.995923909994879	0.976898971200195	-0.0294063319454603	-5.92092086203959	-0.00705470474381542	7.2500904817495
ILMN_1700477	0.895175638222898	0.596238377267342	0.54042817289257	-5.92099946682285	0.188673125699024	8.65416859996005
ILMN_1805812	0.926388189625511	0.698512639211194	-0.394269469371756	-5.92118018293131	-0.0724056579143344	7.91734058766797
ILMN_1652549	0.85718329914965	0.470076683967453	-0.739643633446718	-5.9211989483562	-0.198169789787997	10.3888823664236
ILMN_1745813	0.858479255217538	0.473046910098864	0.734623212843181	-5.92126210078796	0.167104989174057	10.4324191542304
ILMN_1790103	0.885083419419611	0.557824517279378	-0.59840810628643	-5.92135044655776	-0.131707833303762	8.9838213696443
ILMN_1769673	0.962135178052046	0.82533941225149	0.22427756929403	-5.92142427799396	0.0442506868510595	7.47512420943961
