ID	miRNA_ID	adj.P.Val	P.Value	t	B	logFC	AveExpr
ILMN_3168597	hsa-miR-219-2-3p	0.859132711577482	0.633443060532689	0.478035762991166	-6.48307234224876	0.0265311036907798	7.82783653033694
ILMN_3168732	hsa-let-7g*	0.994264188084983	0.980370540041874	0.0246526650430517	-6.48370404394635	0.00458520728640543	8.47402737509585
ILMN_3168297	hsa-miR-365	0.584239055055505	0.237493177455695	-1.18684878035436	-6.48634198361196	-0.0726864409055903	13.714308984149
ILMN_3167669	hsa-miR-325	0.849343236568757	0.603681708725566	0.52040759298616	-6.49035432761241	0.023321431615531	7.64215012068441
ILMN_3168909		0.677490245458352	0.341006349708382	0.955750416853917	-6.49386472204689	0.057404324932377	6.40575625454189
ILMN_3168823	hsa-miR-1282	0.847491138387117	0.59953521580224	0.526384558551659	-6.49772946022744	0.0416093536030733	7.58742746456992
ILMN_3167469		0.746512559294073	0.425414855016459	-0.799624920549397	-6.50056407256506	-0.0603463467778358	6.6640496976035
ILMN_3168009	hsa-miR-620	0.828065421059717	0.545168245257425	-0.606639847546459	-6.50076451352588	-0.0295384317621368	7.24465570291097
ILMN_3168595	hsa-miR-302d*	0.859036561751662	0.630210228708643	-0.482595484327221	-6.50108086823002	-0.0368199172892938	7.65027754862752
ILMN_3167306	hsa-miR-519e	0.930017918213752	0.824047190511487	0.222800497694196	-6.50224989447353	0.0108698404722354	8.24945990362102
ILMN_3167533		0.789861943281286	0.482320440162421	-0.704637659221678	-6.50376443983819	-0.0577510935476022	6.89398207763797
ILMN_3166995		0.735033388721567	0.414058109803852	0.819450399611831	-6.50448213317077	0.0719977693060541	6.697700038517
ILMN_3168546	hsa-miR-518e	0.986254906802349	0.944830926523179	0.0693357896610421	-6.50622892073058	0.00466215613595722	8.34399692600069
ILMN_3168819	hsa-miR-151-5p	0.56240881519306	0.213927301042658	-1.24906927517887	-6.50822061449043	-0.0576698270266718	13.8855025178613
ILMN_3167182	hsa-miR-518c	0.829036509049237	0.552072422515684	0.59623880962452	-6.50941837200854	0.0973874486159199	7.34410743351726
ILMN_3166987		0.828065421059717	0.543284563826745	0.609489026342308	-6.51018390915061	0.0195203378598547	7.21106041128339
ILMN_3166969	hsa-miR-324-5p	0.813912611444127	0.526022124426772	0.635836702323344	-6.51092889306258	0.0414951657283176	12.8594503945933
ILMN_3168888		0.947342271050233	0.852194357363965	0.186697624010362	-6.51849900077687	0.021383199981484	8.1895725185809
ILMN_3168820	hsa-miR-1281	0.994264188084983	0.972663864655944	-0.0343347822684837	-6.51922382296508	-0.00792268862231715	8.27089653006333
ILMN_3168846	hsa-miR-744	0.916215611415399	0.766580398022666	-0.297484799385152	-6.52364174619458	-0.0184968304340352	12.4743961542231
ILMN_3166997		0.83006296989705	0.565417229414318	-0.57631601331583	-6.52454861484772	-0.0369949599689816	7.20523646188478
ILMN_3168633	hsa-miR-1263	0.923618878481863	0.796974193834132	0.257803327454541	-6.52629303373678	0.0149829326408231	8.06550680732952
ILMN_3167229	hsa-miR-375	0.829330227486802	0.555542606534827	0.591035478992034	-6.52652383206766	0.066319035351615	7.2149938130619
ILMN_3167879		0.828065421059717	0.548186540753943	-0.60208478178535	-6.53113355171718	-0.0250976835796743	7.08715520284978
